day_of_week,round,region,team_seed,opponent_seed,win
Saturday,National Semifinals,National Semifinals,1,2,1
Saturday,National Semifinals,National Semifinals,2,3,1
Monday,National Championship,National Championship,1,2,1
Thursday,Round of 64,East,1,16,1
Thursday,Round of 64,East,4,13,1
Thursday,Round of 64,East,5,12,1
Thursday,Round of 64,East,9,8,1
Thursday,Round of 64,Midwest,1,16,1
Thursday,Round of 64,Midwest,4,13,1
Thursday,Round of 64,Midwest,8,9,1
Thursday,Round of 64,Midwest,12,5,1
Thursday,Round of 64,Southeast,1,16,1
Thursday,Round of 64,Southeast,5,12,1
Thursday,Round of 64,Southeast,9,8,1
Thursday,Round of 64,Southeast,13,4,1
Thursday,Round of 64,West,2,15,1
Thursday,Round of 64,West,3,14,1
Thursday,Round of 64,West,7,10,1
Thursday,Round of 64,West,11,6,1
Friday,Round of 64,East,2,15,1
Friday,Round of 64,East,6,11,1
Friday,Round of 64,East,10,7,1
Friday,Round of 64,East,14,3,1
Friday,Round of 64,Midwest,2,15,1
Friday,Round of 64,Midwest,3,14,1
Friday,Round of 64,Midwest,6,11,1
Friday,Round of 64,Midwest,7,10,1
Friday,Round of 64,Southeast,2,15,1
Friday,Round of 64,Southeast,6,11,1
Friday,Round of 64,Southeast,7,10,1
Friday,Round of 64,Southeast,14,3,1
Friday,Round of 64,West,1,16,1
Friday,Round of 64,West,4,13,1
Friday,Round of 64,West,5,12,1
Friday,Round of 64,West,8,9,1
Saturday,Round of 32,East,1,9,1
Saturday,Round of 32,East,4,5,1
Saturday,Round of 32,Midwest,1,8,1
Saturday,Round of 32,Midwest,4,12,1
